HS Code,Description,Section,Section_Description
1,LIVE ANIMAL,1,Live Animals; Animal Products
2,MEAT AND EDIBLE MEAT OFFAL,1,Live Animals; Animal Products
3,FISH CRUSTACEAN MOLLUSC,1,Live Animals; Animal Products
4,DAIRY PRODUCE BIRD EGG HONEY,1,Live Animals; Animal Products
5,PRODUCT OF ANIMAL ORIGIN,1,Live Animals; Animal Products
6,LIVE TREE AND OTHER PLANT,2,Vegetable Products
7,EDIBLE VEGETABLE,2,Vegetable Products
8,EDIBLE FRUIT AND NUT,2,Vegetable Products
9,COFFEE TEA SPICE,2,Vegetable Products
10,CEREAL,2,Vegetable Products
11,PRODUCT OF MILLING INDUSTRY,2,Vegetable Products
12,OIL SEED OLEAGINOUS FRUIT,2,Vegetable Products
13,"LAC; GUM, RESINS AND OTHER EXTRACTS.",2,Vegetable Products
14,VEGETABLE PLAITING MATERIAL,2,Vegetable Products
15,ANIMAL OR VEGETABLE FAT & OIL,3,Animal or Vegetable Fats and Oils and their cleavage products; Prepared Edible Fats; animal or vegatble waxes
16,PREPARATION OF MEAT FISH,4,"Prepared Foodstuffs; Beverages, Spirits and vinegar; Tobacco and Manufactured tobacco substitutes"
17,SUGAR AND CONFECTIONERY,4,"Prepared Foodstuffs; Beverages, Spirits and vinegar; Tobacco and Manufactured tobacco substitutes"
18,COCOA AND PREPARATION,4,"Prepared Foodstuffs; Beverages, Spirits and vinegar; Tobacco and Manufactured tobacco substitutes"
19,PREP OF CEREAL FLOUR STARCH,4,"Prepared Foodstuffs; Beverages, Spirits and vinegar; Tobacco and Manufactured tobacco substitutes"
20,PREP OF VEG FRUIT PLANT,4,"Prepared Foodstuffs; Beverages, Spirits and vinegar; Tobacco and Manufactured tobacco substitutes"
21,MISC EDIBLE PREPARATION,4,"Prepared Foodstuffs; Beverages, Spirits and vinegar; Tobacco and Manufactured tobacco substitutes"
22,BEVERAGE SPIRIT VINEGAR,4,"Prepared Foodstuffs; Beverages, Spirits and vinegar; Tobacco and Manufactured tobacco substitutes"
23,WASTE FROM FOOD INDUSTRY,4,"Prepared Foodstuffs; Beverages, Spirits and vinegar; Tobacco and Manufactured tobacco substitutes"
24,TOBACCO,4,"Prepared Foodstuffs; Beverages, Spirits and vinegar; Tobacco and Manufactured tobacco substitutes"
25,SALT SULPHUR EARTH CEMENT,5,Mineral Products
26,"ORES, SLAG AND ASH",5,Mineral Products
27,MINERAL FUEL OIL WAX,5,Mineral Products
28,INORGANIC CHEMICAL,6,Products of the Chemicals or Allied Industries
29,ORGANIC CHEMICAL,6,Products of the Chemicals or Allied Industries
30,PHARMACEUTICAL PRODUCT,6,Products of the Chemicals or Allied Industries
31,FERTILISER,6,Products of the Chemicals or Allied Industries
32,"TANNING DYEING EXTRACT,PAINT",6,Products of the Chemicals or Allied Industries
33,ESSENTIAL OIL PERFUMERY,6,Products of the Chemicals or Allied Industries
34,SOAP WASH PREP POLISH CANDLE,6,Products of the Chemicals or Allied Industries
35,ALBUMINOIDAL SUBSTANCES ; GLUES ; ENZYMES,6,Products of the Chemicals or Allied Industries
36,EXPLOSIVE PYROTECHNIC PRODUCT,6,Products of the Chemicals or Allied Industries
37,PHOTO AND CINEMA GOODS,6,Products of the Chemicals or Allied Industries
38,MISC CHEMICAL PRODUCT,6,Products of the Chemicals or Allied Industries
39,PLASTICS AND ARTICLES THEREOF,7,Plastics and Articles thereof; Rubber and Articles Thereof
40,RUBBER AND ARTICLES THEREOF,7,Plastics and Articles thereof; Rubber and Articles Thereof
41,RAW HIDE SKIN & LEATHER,8,"Raw Hides and Skins, Leather, Furskins and Articles thereof; saddlery and Harness; travel goods, Handbags and similar Containers; Articles of animal gut (other than silk-worm Gut)"
42,ARTICLE OF LEATHER,8,"Raw Hides and Skins, Leather, Furskins and Articles thereof; saddlery and Harness; travel goods, Handbags and similar Containers; Articles of animal gut (other than silk-worm Gut)"
43,FURSKIN & ARTIFICIAL MANUFAC,8,"Raw Hides and Skins, Leather, Furskins and Articles thereof; saddlery and Harness; travel goods, Handbags and similar Containers; Articles of animal gut (other than silk-worm Gut)"
44,WOOD & ARTICLE,9,"Wood and Articles of Wood; Wood Charcoal; cork and articles or cork; Manufactures of Straw, of Esparto or of other Plaiting Materials; Basketware and Wickerwork"
45,CORK & ARTICLE,9,"Wood and Articles of Wood; Wood Charcoal; cork and articles or cork; Manufactures of Straw, of Esparto or of other Plaiting Materials; Basketware and Wickerwork"
